type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
 1, 2024-05-05T10:34:40.789023161,  27.198734,  87.001668,  -4712, 5073,   5,   1,   0, 2024-05-05T10:34:40.789023161, 2024-05-05T10:34:40.789023161, 0.000000,  27.198734,  27.198734,  87.001668,  87.001668  
 1, 2024-05-05T10:34:53.460253716,  27.061827,  87.201183,  -9591, 4206,   6,   1,   0, 2024-05-05T10:34:53.460253716, 2024-05-05T10:34:53.460253716, 0.000000,  27.061827,  27.061827,  87.201183,  87.201183  
 1, 2024-05-05T10:34:57.863262177,  26.901862,  87.823135,   4536, 4009,   6,   1,   0, 2024-05-05T10:34:57.863262177, 2024-05-05T10:34:57.863262177, 0.000000,  26.901862,  26.901862,  87.823135,  87.823135  
 1, 2024-05-05T10:35:07.510013103,  26.842182,  87.800359,   2298, 8353,   5,   1,   0, 2024-05-05T10:35:07.510013103, 2024-05-05T10:35:07.510013103, 0.000000,  26.842182,  26.842182,  87.800359,  87.800359  
 1, 2024-05-05T10:35:13.962200880,  26.862291,  87.796227,   4338, 3408,   5,   1,   0, 2024-05-05T10:35:13.962200880, 2024-05-05T10:35:13.962200880, 0.000000,  26.862291,  26.862291,  87.796227,  87.796227  
 1, 2024-05-05T10:35:14.942008495,  26.974632,  87.238637,   4439, 15417,   5,   1,   0, 2024-05-05T10:35:14.942008495, 2024-05-05T10:35:14.942008495, 0.000000,  26.974632,  26.974632,  87.238637,  87.238637  
 1, 2024-05-05T10:35:27.009103775,  26.870405,  87.773476,   4177, 3235,   5,   1,   0, 2024-05-05T10:35:27.009103775, 2024-05-05T10:35:27.009103775, 0.000000,  26.870405,  26.870405,  87.773476,  87.773476  
 1, 2024-05-05T10:36:09.658162117,  26.869201,  87.787724,   3949, 3161,   5,   1,   0, 2024-05-05T10:36:09.658162117, 2024-05-05T10:36:09.658162117, 0.000000,  26.869201,  26.869201,  87.787724,  87.787724  
 1, 2024-05-05T10:36:16.343875170,  26.852609,  87.834347,  -2954, 3056,   6,   2,   0, 2024-05-05T10:36:16.002418518, 2024-05-05T10:36:16.343875170, 0.341457,  26.852609,  26.872553,  87.834347,  87.838637  
 1, 2024-05-05T10:36:39.221544027,  26.843695,  87.813528,  -2200, 3763,   5,   1,   0, 2024-05-05T10:36:39.221544027, 2024-05-05T10:36:39.221544027, 0.000000,  26.843695,  26.843695,  87.813528,  87.813528  
 1, 2024-05-05T10:37:10.382591248,  26.972883,  87.234655,   4690, 17734,   5,   1,   0, 2024-05-05T10:37:10.382591248, 2024-05-05T10:37:10.382591248, 0.000000,  26.972883,  26.972883,  87.234655,  87.234655  
 1, 2024-05-05T10:37:51.290005922,  26.982306,  87.245222,   2445, 3013,   5,   1,   0, 2024-05-05T10:37:51.290005922, 2024-05-05T10:37:51.290005922, 0.000000,  26.982306,  26.982306,  87.245222,  87.245222  
 1, 2024-05-05T10:38:04.348603010,  27.272226,  86.715463,  -2645, 5712,   5,   1,   0, 2024-05-05T10:38:04.348603010, 2024-05-05T10:38:04.348603010, 0.000000,  27.272226,  27.272226,  86.715463,  86.715463  
 1, 2024-05-05T10:38:32.338352442,  27.218073,  86.973511,  -3424, 5067,   6,   1,   0, 2024-05-05T10:38:32.338352442, 2024-05-05T10:38:32.338352442, 0.000000,  27.218073,  27.218073,  86.973511,  86.973511  
 1, 2024-05-05T10:39:14.923292160,  26.835094,  87.798571,   5213, 3629,   5,   1,   0, 2024-05-05T10:39:14.923292160, 2024-05-05T10:39:14.923292160, 0.000000,  26.835094,  26.835094,  87.798571,  87.798571  
 1, 2024-05-05T10:39:18.400455236,  27.320086,  86.824827,  -3100, 16793,   5,   1,   0, 2024-05-05T10:39:18.400455236, 2024-05-05T10:39:18.400455236, 0.000000,  27.320086,  27.320086,  86.824827,  86.824827  
 1, 2024-05-05T10:39:35.274942160,  26.883662,  87.833041,   5791, 17458,   6,   1,   0, 2024-05-05T10:39:35.274942160, 2024-05-05T10:39:35.274942160, 0.000000,  26.883662,  26.883662,  87.833041,  87.833041  
 1, 2024-05-05T10:39:51.377746344,  27.294280,  86.772841,  -3821, 19180,   6,   1,   0, 2024-05-05T10:39:51.377746344, 2024-05-05T10:39:51.377746344, 0.000000,  27.294280,  27.294280,  86.772841,  86.772841  
 1, 2024-05-05T10:40:26.642127752,  26.770058,  87.776865,  -3033, 14966,   6,   2,   0, 2024-05-05T10:40:26.641643047, 2024-05-05T10:40:26.642127752, 0.000485,  26.770058,  26.778807,  87.775303,  87.776865  
 0, 2024-05-05T10:40:32.840562820,  28.498318,  83.604733,  22548,    0,   9,   0,   2, 2024-05-05T10:40:32.815473080, 2024-05-05T10:40:32.840562820, 0.025090,  28.494000,  28.498318,  83.604733,  83.605916  
 1, 2024-05-05T10:40:45.196213961,  27.264799,  86.752700,  -2849, 19634,   7,   1,   0, 2024-05-05T10:40:45.196213961, 2024-05-05T10:40:45.196213961, 0.000000,  27.264799,  27.264799,  86.752700,  86.752700  
 1, 2024-05-05T10:40:56.652152300,  26.861847,  87.771320,   2138, 3278,   6,   1,   0, 2024-05-05T10:40:56.652152300, 2024-05-05T10:40:56.652152300, 0.000000,  26.861847,  26.861847,  87.771320,  87.771320  
 1, 2024-05-05T10:40:59.955854654,  26.967210,  87.296385,  -3128, 18629,   5,   1,   0, 2024-05-05T10:40:59.955854654, 2024-05-05T10:40:59.955854654, 0.000000,  26.967210,  26.967210,  87.296385,  87.296385  
 1, 2024-05-05T10:41:00.974660158,  27.330463,  86.834978,  -3066, 5673,   6,   1,   0, 2024-05-05T10:41:00.974660158, 2024-05-05T10:41:00.974660158, 0.000000,  27.330463,  27.330463,  86.834978,  86.834978  
 1, 2024-05-05T10:41:01.448832512,  27.179995,  87.010216,  -4036, 4933,   5,   1,   0, 2024-05-05T10:41:01.448832512, 2024-05-05T10:41:01.448832512, 0.000000,  27.179995,  27.179995,  87.010216,  87.010216  
 1, 2024-05-05T10:41:07.298368931,  27.209583,  86.999293,  -2547, 5407,   5,   1,   0, 2024-05-05T10:41:07.298368931, 2024-05-05T10:41:07.298368931, 0.000000,  27.209583,  27.209583,  86.999293,  86.999293  
 1, 2024-05-05T10:41:15.516626596,  27.318808,  86.838724,  -2658, 17609,   5,   1,   0, 2024-05-05T10:41:15.516626596, 2024-05-05T10:41:15.516626596, 0.000000,  27.318808,  27.318808,  86.838724,  86.838724  
 1, 2024-05-05T10:41:23.726983070,  26.995527,  87.315408,   2980, 5153,   5,   1,   0, 2024-05-05T10:41:23.726983070, 2024-05-05T10:41:23.726983070, 0.000000,  26.995527,  26.995527,  87.315408,  87.315408  
 1, 2024-05-05T10:41:33.182818174,  27.212082,  87.007661,  -2278, 15267,   5,   1,   0, 2024-05-05T10:41:33.182818174, 2024-05-05T10:41:33.182818174, 0.000000,  27.212082,  27.212082,  87.007661,  87.007661  
 1, 2024-05-05T10:41:37.888781309,  27.178729,  87.062706,  -4030, 5646,   5,   1,   0, 2024-05-05T10:41:37.888781309, 2024-05-05T10:41:37.888781309, 0.000000,  27.178729,  27.178729,  87.062706,  87.062706  
 1, 2024-05-05T10:41:41.106185198,  26.986776,  87.314026,  -1663, 3186,   5,   1,   0, 2024-05-05T10:41:41.106185198, 2024-05-05T10:41:41.106185198, 0.000000,  26.986776,  26.986776,  87.314026,  87.314026  
 1, 2024-05-05T10:41:48.321816921,  27.270359,  86.767188,  -2692, 18767,   5,   1,   0, 2024-05-05T10:41:48.321816921, 2024-05-05T10:41:48.321816921, 0.000000,  27.270359,  27.270359,  86.767188,  86.767188  
 1, 2024-05-05T10:41:50.695472717,  27.012871,  88.003343,   3733, 11180,   7,   1,   0, 2024-05-05T10:41:50.695472717, 2024-05-05T10:41:50.695472717, 0.000000,  27.012871,  27.012871,  88.003343,  88.003343  
 1, 2024-05-05T10:41:50.672614336,  26.860546,  87.849286,   3387, 3965,   5,   1,   0, 2024-05-05T10:41:50.672614336, 2024-05-05T10:41:50.672614336, 0.000000,  26.860546,  26.860546,  87.849286,  87.849286  
 1, 2024-05-05T10:42:10.167480946,  26.865079,  87.783293,   5658, 4161,   7,   1,   0, 2024-05-05T10:42:10.167480946, 2024-05-05T10:42:10.167480946, 0.000000,  26.865079,  26.865079,  87.783293,  87.783293  
 1, 2024-05-05T10:42:10.299293518,  27.167326,  87.013343,  -2286, 15178,   5,   1,   0, 2024-05-05T10:42:10.299293518, 2024-05-05T10:42:10.299293518, 0.000000,  27.167326,  27.167326,  87.013343,  87.013343  
 1, 2024-05-05T10:42:12.362825394,  28.576956,  83.541949,  10052, 19757,   7,   1,   0, 2024-05-05T10:42:12.362825394, 2024-05-05T10:42:12.362825394, 0.000000,  28.576956,  28.576956,  83.541949,  83.541949  
 0, 2024-05-05T10:42:18.592101097,  27.250151,  86.749982,  -3322,    0,   6,   0,   1, 2024-05-05T10:42:18.592101097, 2024-05-05T10:42:18.592101097, 0.000000,  27.250151,  27.250151,  86.749982,  86.749982  
 1, 2024-05-05T10:42:23.930541754,  27.272326,  86.740235,  -3878, 5570,   5,   1,   0, 2024-05-05T10:42:23.930541754, 2024-05-05T10:42:23.930541754, 0.000000,  27.272326,  27.272326,  86.740235,  86.740235  
 0, 2024-05-05T10:42:35.640125036,  27.011827,  87.323087,  -2399,    0,   5,   0,   1, 2024-05-05T10:42:35.640125036, 2024-05-05T10:42:35.640125036, 0.000000,  27.011827,  27.011827,  87.323087,  87.323087  
 0, 2024-05-05T10:42:41.096484184,  27.218660,  86.989413,  -6826,    0,   6,   0,   1, 2024-05-05T10:42:41.096484184, 2024-05-05T10:42:41.096484184, 0.000000,  27.218660,  27.218660,  86.989413,  86.989413  
 1, 2024-05-05T10:42:43.585189581,  26.865716,  87.852539,   4351, 4343,   6,   2,   0, 2024-05-05T10:42:43.585189581, 2024-05-05T10:42:43.846126795, 0.260937,  26.865716,  26.866713,  87.852539,  87.853758  
 1, 2024-05-05T10:42:43.923530340,  26.968996,  87.297544,  -3294, 5151,   5,   1,   0, 2024-05-05T10:42:43.923530340, 2024-05-05T10:42:43.923530340, 0.000000,  26.968996,  26.968996,  87.297544,  87.297544  
 1, 2024-05-05T10:43:00.249264240,  27.177695,  87.016065,  -3558, 4959,   5,   1,   0, 2024-05-05T10:43:00.249264240, 2024-05-05T10:43:00.249264240, 0.000000,  27.177695,  27.177695,  87.016065,  87.016065  
 0, 2024-05-05T10:43:26.708836317,  28.493097,  83.618852,  12046,    0,   8,   0,   1, 2024-05-05T10:43:26.708836317, 2024-05-05T10:43:26.708836317, 0.000000,  28.493097,  28.493097,  83.618852,  83.618852  
 1, 2024-05-05T10:43:33.434088707,  27.191652,  86.982736,  -2049, 13336,   5,   1,   0, 2024-05-05T10:43:33.434088707, 2024-05-05T10:43:33.434088707, 0.000000,  27.191652,  27.191652,  86.982736,  86.982736  
 1, 2024-05-05T10:43:42.477155447,  26.862570,  87.801615,   3017, 4075,   6,   1,   0, 2024-05-05T10:43:42.477155447, 2024-05-05T10:43:42.477155447, 0.000000,  26.862570,  26.862570,  87.801615,  87.801615  
 1, 2024-05-05T10:44:31.360585928,  27.196917,  86.984927,  -2230, 3063,   5,   1,   0, 2024-05-05T10:44:31.360585928, 2024-05-05T10:44:31.360585928, 0.000000,  27.196917,  27.196917,  86.984927,  86.984927  
 1, 2024-05-05T10:44:33.491576433,  27.020381,  87.342813,  -1912, 4829,   5,   1,   0, 2024-05-05T10:44:33.491576433, 2024-05-05T10:44:33.491576433, 0.000000,  27.020381,  27.020381,  87.342813,  87.342813  
 1, 2024-05-05T10:44:35.752309799,  26.950911,  87.292857,   2188, 3002,   5,   1,   0, 2024-05-05T10:44:35.752309799, 2024-05-05T10:44:35.752309799, 0.000000,  26.950911,  26.950911,  87.292857,  87.292857  
 1, 2024-05-05T10:44:44.928970575,  26.847325,  87.817211,   5578, 4033,   5,   3,   0, 2024-05-05T10:44:44.887251616, 2024-05-05T10:44:44.930016994, 0.042765,  26.838203,  26.847325,  87.817211,  87.834604  
 0, 2024-05-05T10:44:58.717961311,  28.462205,  83.582916,  12344,    0,   7,   1,   1, 2024-05-05T10:44:58.618737936, 2024-05-05T10:44:58.717961311, 0.099223,  28.462205,  28.462359,  83.582916,  83.610643  
 1, 2024-05-05T10:45:28.103511572,  27.043783,  87.328130,  -3164, 18984,   5,   1,   0, 2024-05-05T10:45:28.103511572, 2024-05-05T10:45:28.103511572, 0.000000,  27.043783,  27.043783,  87.328130,  87.328130  
 1, 2024-05-05T10:45:35.956612110,  27.279601,  86.772659,  -5046, 17640,   6,   1,   0, 2024-05-05T10:45:35.956612110, 2024-05-05T10:45:35.956612110, 0.000000,  27.279601,  27.279601,  86.772659,  86.772659  
